Name,Amount,COI Valid for Job?,Counts toward SLBE?,Lien Release Signed?,Notes,Project,SLBE Amount,Scope of Work,Status,Sub Invoice Received?,Subcontractor,Trade
3302 Chipco - City of Tampa (Permit),$433.09,No,No,No,"Government fee, not a subcontractor - no lien release. Included so totals reconcile to the DMI-20.",3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$0.00,Building permit & department fees,Not started,No,,Permit / fees
3302 Chipco - Hillsborough County,$13.46,No,No,No,Government fee - no lien release.,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$0.00,Recording fee,Not started,No,,Notice of Commencement
3302 Chipco - Ambit Engineering,$440.00,Yes,Yes,Yes,SLBE.,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$440.00,Engineering / survey,Not started,Yes,"Ambit Engineering, LLC (https://app.notion.com/p/Ambit-Engineering-LLC-3788aafafac38102b737c15f38b8f0a1?pvs=21)",Engineer / Survey
3302 Chipco - Sunny R&R,"$11,905.00",Yes,No,Yes,,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$0.00,Roof + fascia,Not started,Yes,"Sunny R&R, LLC (https://app.notion.com/p/Sunny-R-R-LLC-3788aafafac3817eb209f11d09830e64?pvs=21)",Roofing & Fascia
3302 Chipco - KapCook,$860.00,Yes,Yes,Yes,SLBE.,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$860.00,Site / portable toilet,Not started,Yes,"KapCook Enterprises, LLC (https://app.notion.com/p/KapCook-Enterprises-LLC-3788aafafac381e29f5dc57748f23e7a?pvs=21)",Portable Toilet
3302 Chipco - Gruntle,"$52,896.59",Yes,No,Yes,Largest sub (~47% of sub value).,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$0.00,Windows + kitchen + bath remodel,Not started,Yes,"Gruntle, LLC (https://app.notion.com/p/Gruntle-LLC-3788aafafac38199b4dbce003fcb2162?pvs=21)","Windows, Kitchen & Bathroom"
3302 Chipco - W. Endless Solutions,$750.00,Yes,No,Yes,Bid as 'Wanda Vivieca'; paid under W. Endless Solutions LLC.,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$0.00,Cleaning,Not started,Yes,"W. Endless Solutions, LLC (https://app.notion.com/p/W-Endless-Solutions-LLC-3788aafafac38198aa7bdb52119daa1c?pvs=21)",Cleaning
3302 Chipco - Orange Painting,"$15,810.00",Yes,Yes,Yes,SLBE.,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),"$15,810.00",Painting / drywall / soffit,Not started,Yes,"Orange Painting Services, LLC (https://app.notion.com/p/Orange-Painting-Services-LLC-3788aafafac38158a480fd58e25f5d62?pvs=21)","Painting, Drywall & Soffit"
3302 Chipco - Colossus,"$7,500.00",Yes,No,Yes,,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),$0.00,Plumbing,Not started,Yes,Colossus Construction Inc. (https://app.notion.com/p/Colossus-Construction-Inc-3788aafafac381f88356dfc7d30116f5?pvs=21),Plumbing
3302 Chipco - Authentic Air,"$7,243.00",Yes,Yes,Yes,SLBE.,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),"$7,243.00",HVAC,Not started,Yes,"Authentic Air Solutions, LLC (https://app.notion.com/p/Authentic-Air-Solutions-LLC-3788aafafac3818a950adcea639bae5a?pvs=21)",HVAC
3302 Chipco - All in One Electrical,"$14,270.00",Yes,Yes,Yes,SLBE.,3302 Chipco St (https://app.notion.com/p/3302-Chipco-St-3758aafafac381b1b84be67affecb450?pvs=21),"$14,270.00",Electrical,Done,Yes,All in One Electrical Repairs and Installations LLC (https://app.notion.com/p/All-in-One-Electrical-Repairs-and-Installations-LLC-3788aafafac381a088c0e6304db43333?pvs=21),Electrical
