Name,Active?,Address,Auto Insurance Dates,Certificate of Insurance,Contact Name,Created,Email,Federal ID / EIN,General Liability Dates,Insurance Carrier,Insurance on File?,Job Subs,MBD-40,Notes,Phone,SLBE Certification Dates,SLBE Certified?,Trade,Umbrella Dates,W/MBE Certification Dates,W/MBE Certified?,Workers' Comp Dates
[Orange Painting Services] Elite Handyman Service,No,,,,Carlos Castillo,"June 7, 2026 12:48 AM",carlos@elitehandymanservice.com,,"June 11, 2025 → June 11, 2026",,No,,No,,813-678-2509,,No,General,,,No,"July 11, 2025 → July 11, 2027"
104 LCCA Electric & AC Corporation,No,"8220 Vassar Circle Tampa, Fl 33634",,,,"June 7, 2026 12:48 AM",104lccaelectric@gmail.com,82-3782219,,,No,,No,"License # 
Lic: EC13006479
CAC18119823
CFC1431956",,,No,,,,No,
3D Impact Windows and Doors Inc,No,"5450 W 20th Ave Hialeah, Fl 33016",,,Yosniel Estiu Contino,"June 7, 2026 12:48 AM",,85-3009847,,,No,,No,,561-831-7899,,No,Doors & Windows,,,No,
"Abatement and Demolition Services, Inc.",No,5451 N. 59th Street Tampa Florida 33610,,,Chris Ippolito,"June 7, 2026 12:48 AM","bragg@ADSenviro.com
george@adsenviro.com",,,,No,,No,,"Cell: 727-638-0581
Office: 813-875-4600
813-872-0901",,No,Abatement & Demo,,,No,
"Abreu Environmental, LLC",No,"6013 Wesley Grove Blvd #202 Wesley Chapel, FL 33544",,,,"June 7, 2026 12:48 AM",,92-1619967,,,No,,No,,(813) 803-0201,,No,lead testing,,,No,
Acela: Aline Amaral,No,,,,,"June 7, 2026 12:48 AM",,,,,No,,No,,813-274-3149,,No,,,,No,
Acela: James Geis,No,,,,,"June 7, 2026 12:48 AM",,,,,No,,No,,813-274-3364,,No,,,,No,
Acela: Ricardo Francklin,No,,,,,"June 7, 2026 12:48 AM",ricardo.francklin@tampagov.net,,,,No,,No,,813-274-3132,,No,,,,No,
"AIRMD, L.L.C.",No,"7700 Congress Avenue
Suite 1119
Boca Raton, Fl 33487",,,,"June 7, 2026 12:48 AM",,46-3533856,,,No,,No,,,,No,,,,No,
All in One Electrical Repairs and Installations LLC,No,"4608 Driesler Circle Tampa, FL 33634","April 15, 2025 → April 15, 2026",https://1drv.ms/b/c/482c89b1e0898b85/IQDGn3mgzeM7SYTTUyUSAwfSAW6ib0C8TG1KEcouZeC1U98?e=gRtA5L,Pablo Garo,"June 7, 2026 12:48 AM",pablogarobeato@gmail.com pablo@allinoneelectrical.com,**FIX** 33-1792777 OR 93-1390385,"January 1, 2025 → January 1, 2026",,Yes,3302 Chipco - All in One Electrical (https://app.notion.com/p/3302-Chipco-All-in-One-Electrical-3758aafafac381eb8586e3c21ecb43a2?pvs=21),No,SLBE. NOTE: two FEINs appear in the file - 93-1390385 (DMI-20 & DMI-30 P2) and 33-1792777 (DMI-30 P1). Confirm correct FEIN.,"Work: 
813-513-7318
Personal: 929-436-6368",,Yes,Electrical,,,No,"January 16, 2025 → January 16, 2026"
All Star Servicing West Inc,No,"1180 8th Avenue West Suite 207 Palmetto, FL 34221",,,Andres A. Belen,"June 7, 2026 12:48 AM",info@allstarservicingwest.com,84-2392581,,,No,,No,,(941) 281-9856,,No,,,,No,
"Ambit Engineering, LLC",Yes,"3848 Sun City Center Blvd Ste 104 PMB 1027 Ruskin, Florida 33573",,,Frank Pyrtle,"June 7, 2026 12:48 AM",frankp@ambit-eng.com,86-3095308,"July 23, 2025 → July 23, 2026",,No,3302 Chipco - Ambit Engineering (https://app.notion.com/p/3302-Chipco-Ambit-Engineering-3758aafafac381d78bd5fdcf744725ae?pvs=21),No,SLBE.,813-417-5828,"May 5, 2025 → May 5, 2028",Yes,Engeneering,"July 23, 2025 → July 23, 2026",,No,"July 22, 2024 → July 22, 2026"
ASAP Rubbish Removal LLC,No,"8512 Ivanhoe Dr Melbourne, FL 32940",,,Cecilio Morales,"June 7, 2026 12:48 AM",gmv01970@gmail.com,87-0850573,,,No,,No,,321-358-5189,,No,,,,No,
"Authentic Air Solutions, LLC",Yes,"10948 Keys Gate drive
Riverview, FL 33579",,,Travis Jackson,"June 7, 2026 12:48 AM",tjackson@authenticairsolutionsllc.com,84-3961344,"December 2, 2024 → December 2, 2025",,No,3302 Chipco - Authentic Air (https://app.notion.com/p/3302-Chipco-Authentic-Air-3758aafafac3811fab2af63c76d93669?pvs=21),No,SLBE. HVAC.,813-817-7854,,Yes,HVAC,,,No,"March 15, 2024 → March 15, 2026"
"Beryl Project Engineering
DBA Beryl Engineering and Inspection",No,"15100 Hutchison Rd Tampa, FL 33625",,,,"June 7, 2026 12:48 AM",info@berylprojectengineering.com,46-2213075,,,No,,No,,813-616-3301,,No,,,,No,
"BMC Hurricane Protection, Inc.",No,"10712 NW 53rd Street Sunrise, FL 33351",,,Carlos G. Del Los Santos,"June 7, 2026 12:48 AM","Carlos@BMCHurricaneProtection.com ",32-0176985,,,No,,No,,(954) 641-9333,,No,Windows,,,No,
"Burgo Construction, LLC",Yes,"2108 Colonial Parc Dr. Apt. 204 Tampa, Fl 33612",,,Joaquin Montero,"June 7, 2026 12:48 AM",,41-3208263,,,No,,No,"Added during construction (DMI-30 P2), not on the original bid. Interior painting.",+1 (929) 405-6093,,No,General,,,No,
"Chalco Construction Services, LLC",No,"247 Oakview Ave Auburndale, Fl 33823",,,"Eugri Hernandez ","June 7, 2026 12:48 AM",eugrihernandez@gmail.com,87-4391765,,,No,,No,,863-877-6946,,No,,,,No,
Colossus Construction Inc.,Yes,"6807 Donald Ave Tampa, Fl 33614",,,,"June 7, 2026 12:48 AM",colossusconstruction1@gmail.com,84-1834759,,,No,3302 Chipco - Colossus (https://app.notion.com/p/3302-Chipco-Colossus-3758aafafac381208731dacd97bb7491?pvs=21),No,Plumbing.,813-325-6298,,No,,,,No,
Cultiv8 Landscape Service,No,,,,Jay Johnson,"June 7, 2026 12:48 AM",mulcheverywhere@gmail.com,82-4642460,,,No,,No,,(813) 220-8212,,No,Tree,,,No,
"Gruntle, LLC",Yes,"39232 9th Avenue, Zephyrhills, FL 33542",,,,"June 7, 2026 12:48 AM",jasonamos@gruntlellc.com,93-3732800,,,No,3302 Chipco - Gruntle (https://app.notion.com/p/3302-Chipco-Gruntle-3758aafafac3812dad76f57a547ecf13?pvs=21),No,Largest sub on 3302 Chipco (~47% of sub value). Windows + kitchen + bath remodel.,813-997-2147,,No,,,,No,
"GUAJIRO, LLC",Yes,"6510 Secrest Ct, Tampa, FL 33625",,,Maximiliano Ramos Montes De Oca,"June 7, 2026 12:48 AM",maxilianoramos2@gmail.com,84-4958965,,,No,,No,Added during construction (DMI-30 P2). Material supplier.,813-485-2786,,No,Countertop,,,No,
Hughes Exterminators,No,"8613 Roswell Road Atlanta, GA 30350",,,,"June 7, 2026 12:48 AM",tampa@hughes-exterminators.com,58-1024782,,,No,,No,,(813) 884-1555,,No,Extermination,,,No,
J&S Air Quality Experts,No,"1127 Weslaco Street Se
Palm Bay, Fl 32909",,,,"June 7, 2026 12:48 AM",,86-3930404,,,No,,No,,,,No,HVAC,,,No,
"JCV Handyman, LLC",No,"3133 W Rio Vista Ave Tampa, Fl 33614",,,,"June 7, 2026 12:48 AM",,88-0534439,,,No,,No,,18137353396,,No,,,,No,
"JDP Electric, Inc",No,"4183 E Hillsborough Ave Tampa, FL 33610",,,Gabriella and Tom,"June 7, 2026 12:48 AM","gabriella@jdpelectric.com
tom@jdpelectric.com",59-3511620,,,No,,No,,813-234-4004,,No,Electrical,,,No,
"JM Drafting Services, LLC",No,"9944 Warm Stone Street Thonotosassa, Fl 33592",,,Javier Mayol,"June 7, 2026 12:48 AM",mydrawing@gmail.com,88-1849350,,,No,,No,,813-220-1311,,No,,,,No,
"JTA Advance Painting, LLC",No,"9225 Bay Plaza Blvd
Suite 417 #1205
Tampa, FL 33619","August 22, 2025 → August 22, 2026",,"Ramoine Allen
Marc Olius","June 7, 2026 12:48 AM",service@jtaadvancepainting.com,87-4716126,"September 7, 2024 → September 7, 2025",,No,,Yes,,813-392-8128,"July 17, 2024 → July 17, 2026",No,Painting,,,No,
"KapCook Enterprises, LLC",Yes,"10810 Boyette Road 148 Riverview, FL 33569",,,Kimberly Preston,"June 7, 2026 12:48 AM",info@kapcook.com,83-3172823,,,No,3302 Chipco - KapCook (https://app.notion.com/p/3302-Chipco-KapCook-3758aafafac3812395aeccdff5c20975?pvs=21),No,SLBE. Portable toilet / site services.,(407) 230-7327,,Yes,,,,No,
"LRE Foundation Repair, LLC",No,"11844 Valley Ridge Dr.
Papillion, Ne 68046",,,,"June 7, 2026 12:48 AM",,84-4958177,,,No,,No,,1-844-610-2840,,No,,,,No,
"MAG Multiservices & Services, INC",No,,,,MIGUEL GUTIERREZ,"June 7, 2026 12:48 AM",magservicesrepairs@gmail.com,84-2260493,,,No,,No,,(407) 412-2676,,No,Roof,,,No,
Maverick Rebel Holdings Inc DBA MobileDumps of Greater Tampa,No,,,,"Claudine Sanchez ","June 7, 2026 12:48 AM",csanchez@mobiledumps.com,92-0311349,,,No,,No,,813-553-1375,,No,Dumpster,,,No,
NA Home Solutions,No,,,,"Nancy Arias ","June 7, 2026 12:48 AM",na.homesolutions24@gmail.com,99-1082240,,,No,,No,,,,No,General,,,No,
"Orange Painting Services, LLC",Yes,"13014 N Dale Mabry Hwy Ste 127, Tampa, FL 33618",,,Carlos Castillo,"June 7, 2026 12:48 AM",Carlos.Castillo@orangepaintingservices.com,36-5114192,"December 3, 2024 → December 3, 2025",,No,3302 Chipco - Orange Painting (https://app.notion.com/p/3302-Chipco-Orange-Painting-3758aafafac3811abc86ffc57bb98001?pvs=21),No,"SLBE. Did painting, drywall & ceiling, and soffit across the job.",813-678-5655,"April 30, 2025 → April 30, 2028",Yes,Painting,,,No,"March 31, 2025 → March 31, 2027"
"Paving Pros Of Florida, LLC",No,"8414 Wheat Stone Dr. Zephyrhills, FL 33540",,,Stephy Santiago,"June 7, 2026 12:48 AM",pavingprosofflorida@gmail.com,33-2109376,,,No,,No,,813-825-5560,,No,,,,No,
"R&Y Dumpster Kings, LLC",No,"1929 Gregory Dr
Tampa, Fl 33613",,,,"June 7, 2026 12:48 AM","sales@rydumpsterkings.com
rydumpsterkings@gmail.com",33-3996539,,,No,,No,,(813) 312-1191,,No,Dumpster,,,No,
Samane,No,,,,,"June 7, 2026 12:48 AM",,,,,No,,No,,,,No,General,,,No,
"Sannitdany Electric Services, LLC",No,,"March 5, 2025 → March 5, 2026",,,"June 7, 2026 12:48 AM",sanntidany@gmail.com,92-1806526,"April 1, 2025 → April 1, 2026",,No,,Yes,,(813) 797-2012,"August 25, 2025 → August 25, 2028",No,Electrical,,,No,"October 3, 2024 → October 3, 2025"
Seb HVAC Solutions,No,,,,Sebastian Osorio,"June 7, 2026 12:48 AM",info@sebhvacsolutions.com,92-3505672,,,No,,No,,813-352-0768,"April 29, 2024 → April 29, 2026",No,HVAC,,,No,
Slide Rite Doors & Windows,No,,,,Gary Iskamlaji,"June 7, 2026 12:48 AM",,86-2182526,,,No,,No,,561-671-0780,,No,Windows & Doors,,,No,
"Stampida Design, LLC",No,,,,,"June 7, 2026 12:48 AM",stampidadesignllc@gmail.com,,,,No,,No,,,,No,General,,,No,
"Sunny R&R, LLC",Yes,"1922 Hillcrest St Orlando, FL 32803",,,Marcos Perez,"June 7, 2026 12:48 AM",Sunnyrestorationandroofing@gmail.com,83-3164510,,,No,3302 Chipco - Sunny R&R (https://app.notion.com/p/3302-Chipco-Sunny-R-R-3758aafafac38168a997c0870e14060d?pvs=21),No,DBA Sunny Roofing. Roof + fascia/soffit.,(407) 761-4036,,No,Roofing,,,No,
"The Cao Group, LLC",No,,"November 21, 2024 → November 21, 2025",,,"June 7, 2026 12:48 AM",dcao@thecaogroup.com,30-1400419,,,No,,Yes,,,"March 12, 2024 → March 12, 2026",No,Plumbing,,,No,"August 20, 2025 → August 20, 2026"
"TMD Windows And Doors, LLC",No,"1702 E. 5th Avenue Tampa, Fl 33605",,,,"June 7, 2026 12:48 AM",,45-2458981,,,No,,No,,8133484837,,No,Windows & Doors,,,No,
"Tronco's Land of Florida, LLC",No,"9202 Celebration Ct
Tampa, Fl 33647","July 11, 2024 → July 11, 2025",,Guillermo(?),"June 7, 2026 12:48 AM",troncosland@gmail.com,84-2385721,"June 13, 2025 → June 13, 2026",,No,,No,,(813) 751-9443,,No,Tree removal,"June 13, 2025 → June 13, 2026",,No,"July 31, 2024 → July 31, 2026"
"W. Endless Solutions, LLC",Yes,"1083 Vista Haven Cir Apt 204, Orlando, FL 32825",,,Wanda Vivieca,"June 7, 2026 12:48 AM",,42-2273266,,,No,3302 Chipco - W. Endless Solutions (https://app.notion.com/p/3302-Chipco-W-Endless-Solutions-3758aafafac3811d9ae3da06480f9ae7?pvs=21),No,Contact Wanda Vivieca. On DMI-20 listed as individual 'Wanda Vivieca' (FEIN 050-72-1499); paid under the LLC (FEIN 42-2273266) - confirm correct FEIN.,407-350-7038,,No,,,,No,
